Date,Cn,Id,Rn
2018-01-01,0.9863013698630136,0.0958904109589041,0.0
2018-02-01,0.9863013698630136,0.0958904109589041,0.0
2018-03-01,0.972972972972973,0.0945945945945946,3.0
2018-04-01,0.9473684210526315,0.09210526315789473,3.0
2018-05-01,1.441860465116279,0.6627906976744186,3.0
2018-06-01,4.650793650793651,66.93650793650792,61.73015873015873
2018-07-01,5.9779005524861875,90.26519337016573,139.1988950276243
2018-08-01,6.28,107.66500000000002,164.055
2018-09-01,7.28110599078341,118.26728110599076,185.110599078341
2018-10-01,7.757575757575758,123.28138528138528,189.74025974025975
2018-11-01,8.126050420168067,127.84033613445378,200.27731092436974
2018-12-01,8.57258064516129,140.22983870967744,214.18145161290323
